1,Bulbasaur,Grass,Poison,Base,None,Ivysaur,Forest,4
2,Ivysaur,Grass,Poison,Second,Bulbasaur,Venusaur,Forest,6
3,Venusaur,Grass,Poison,Final,Ivysaur,None,Forest,8
4,Charmander,Fire,None,Base,None,Charmeleon,Mountain,4
5,Charmeleon,Fire,None,Second,Charmander,Charizard,Mountain,6
6,Charizard,Fire,Flying,Final,Charmeleon,None,Mountain,8
7,Squirtle,Water,None,Base,None,Wartortle,Sea,4
8,Wartortle,Water,None,Second,Squirtle,Blastoise,Sea,6
9,Blastoise,Water,None,Final,Wartortle,None,Sea,8
10,Caterpie,Bug,None,Base,None,Metapod,Forest,1
11,Metapod,Bug,None,Second,Caterpie,Butterfree,Forest,3
12,Butterfree,Bug,Flying,Final,Metapod,None,Forest,5
13,Weedle,Bug,Poison,Base,None,Kakuna,Forest,1
14,Kakuna,Bug,Poison,Second,Weedle,Beedrill,Forest,3
15,Beedrill,Bug,Poison,Final,Kakuna,None,Forest,5
16,Pidgey,Normal,Flying,Base,None,Pidgeotto,Forest,1
17,Pidgeotto,Normal,Flying,Second,Pidgey,Pidgeot,Forest,4
18,Pidgeot,Normal,Flying,Final,Pidgeotto,None,Forest,7
19,Rattata,Normal,None,Base,None,Raticate,Forest,1
20,Raticate,Normal,None,Final,Rattata,None,Forest,5
21,Spearow,Normal,Flying,Base,None,Fearow,Grassland,2
22,Fearow,Normal,Flying,Final,Spearow,None,Grassland,6
23,Ekans,Poison,None,Base,None,Arbok,Forest,2
24,Arbok,Poison,None,Final,Ekans,None,Forest,6
25,Pikachu,Electric,None,Base,None,Raichu,Forest,3
26,Raichu,Electric,None,Final,Pikachu,None,Forest,7
27,Sandshrew,Ground,None,Base,None,Sandslash,Mountain,2
28,Sandslash,Ground,None,Final,Sandshrew,None,Mountain,6
29,Nidoran♀,Poison,None,Base,None,Nidorina,Grassland,3
30,Nidorina,Poison,None,Second,Nidoran♀,Nidoqueen,Grassland,5
31,Nidoqueen,Poison,Ground,Final,Nidorina,None,Grassland,7
32,Nidoran♂,Poison,None,Base,None,Nidorino,Grassland,3
33,Nidorino,Poison,None,Second,Nidoran♂,Nidoking,Grassland,5
34,Nidoking,Poison,Ground,Final,Nidorino,None,Grassland,7
35,Clefairy,Fairy,None,Base,None,Clefable,Mountain,3
36,Clefable,Fairy,None,Final,Clefairy,None,Mountain,7
37,Vulpix,Fire,None,Base,None,Ninetales,Mountain,3
38,Ninetales,Fire,None,Final,Vulpix,None,Mountain,7
39,Jigglypuff,Normal,Fairy,Base,None,Wigglytuff,Mountain,3
40,Wigglytuff,Normal,Fairy,Final,Jigglypuff,None,Mountain,7
41,Zubat,Poison,Flying,Base,None,Golbat,Mountain,2
42,Golbat,Poison,Flying,Final,Zubat,None,Mountain,6
43,Oddish,Grass,Poison,Base,None,Gloom,Forest,3
44,Gloom,Grass,Poison,Second,Oddish,Vileplume,Forest,5
45,Vileplume,Grass,Poison,Final,Gloom,None,Forest,7
46,Paras,Bug,Grass,Base,None,Parasect,Forest,2
47,Parasect,Bug,Grass,Final,Paras,None,Forest,6
48,Venonat,Bug,Poison,Base,None,Venomoth,Forest,3
49,Venomoth,Bug,Poison,Final,Venonat,None,Forest,7
50,Diglett,Ground,None,Base,None,Dugtrio,Mountain,2
51,Dugtrio,Ground,None,Final,Diglett,None,Mountain,6
52,Meowth,Normal,None,Base,None,Persian,Urban,2
53,Persian,Normal,None,Final,Meowth,None,Urban,6
54,Psyduck,Water,None,Base,None,Golduck,Sea,3
55,Golduck,Water,None,Final,Psyduck,None,Sea,7
56,Mankey,Fighting,None,Base,None,Primeape,Mountain,2
57,Primeape,Fighting,None,Final,Mankey,None,Mountain,6
58,Growlithe,Fire,None,Base,None,Arcanine,Grassland,3
59,Arcanine,Fire,None,Final,Growlithe,None,Grassland,7
60,Poliwag,Water,None,Base,None,Poliwhirl,Sea,3
61,Poliwhirl,Water,None,Second,Poliwag,Poliwrath,Sea,6
62,Poliwrath,Water,Fighting,Final,Poliwhirl,None,Sea,9
63,Abra,Psychic,None,Base,None,Kadabra,Urban,4
64,Kadabra,Psychic,None,Second,Abra,Alakazam,Urban,6
65,Alakazam,Psychic,None,Final,Kadabra,None,Urban,8
66,Machop,Fighting,None,Base,None,Machoke,Mountain,4
67,Machoke,Fighting,None,Second,Machop,Machamp,Mountain,6
68,Machamp,Fighting,None,Final,Machoke,None,Mountain,8
69,Bellsprout,Grass,Poison,Base,None,Weepinbell,Forest,4
70,Weepinbell,Grass,Poison,Second,Bellsprout,Victreebel,Forest,6
71,Victreebel,Grass,Poison,Final,Weepinbell,None,Forest,8
72,Tentacool,Water,Poison,Base,None,Tentacruel,Sea,2
73,Tentacruel,Water,Poison,Final,Tentacool,None,Sea,6
74,Geodude,Rock,Ground,Base,None,Graveler,Mountain,4
75,Graveler,Rock,Ground,Second,Geodude,Golem,Mountain,6
76,Golem,Rock,Ground,Final,Graveler,None,Mountain,8
77,Ponyta,Fire,None,Base,None,Rapidash,Mountain,3
78,Rapidash,Fire,None,Final,Ponyta,None,Mountain,7
79,Slowpoke,Water,Psychic,Base,None,Slowbro,Sea,3
80,Slowbro,Water,Psychic,Final,Slowpoke,None,Sea,7
81,Magnemite,Electric,Steel,Base,None,Magneton,Urban,2
82,Magneton,Electric,Steel,Final,Magnemite,None,Urban,6
83,Farfetch'd,Normal,Flying,Unique,None,None,Forest,5
84,Doduo,Normal,Flying,Base,None,Dodrio,Grassland,2
85,Dodrio,Normal,Flying,Final,Doduo,None,Grassland,6
86,Seel,Water,None,Base,None,Dewgong,Sea,3
87,Dewgong,Water,Ice,Final,Seel,None,Sea,7
88,Grimer,Poison,None,Base,None,Muk,Urban,2
89,Muk,Poison,None,Final,Grimer,None,Urban,6
90,Shellder,Water,None,Base,None,Cloyster,Sea,3
91,Cloyster,Water,Ice,Final,Shellder,None,Sea,7
92,Gastly,Ghost,Poison,Base,None,Haunter,Urban,5
93,Haunter,Ghost,Poison,Second,Gastly,Gengar,Urban,7
94,Gengar,Ghost,Poison,Final,Haunter,None,Urban,9
95,Onix,Rock,Ground,Base,None,Steelix,Mountain,5
96,Drowzee,Psychic,None,Base,None,Hypno,Urban,3
97,Hypno,Psychic,None,Final,Drowzee,None,Urban,7
98,Krabby,Water,None,Base,None,Kingler,Sea,2
99,Kingler,Water,None,Final,Krabby,None,Sea,6
100,Voltorb,Electric,None,Base,None,Electrode,Urban,2
101,Electrode,Electric,None,Final,Voltorb,None,Urban,6
102,Exeggcute,Grass,Psychic,Base,None,Exeggutor,Forest,3
103,Exeggutor,Grass,Psychic,Final,Exeggcute,None,Forest,7
104,Cubone,Ground,None,Base,None,Marowak,Mountain,4
105,Marowak,Ground,None,Final,Cubone,None,Mountain,8
106,Hitmonlee,Fighting,None,Unique,None,None,Mountain,7
107,Hitmonchan,Fighting,None,Unique,None,None,Mountain,7
108,Lickitung,Normal,None,Base,None,None,Urban,5
109,Koffing,Poison,None,Base,None,Weezing,Urban,2
110,Weezing,Poison,None,Final,Koffing,None,Urban,6
111,Rhyhorn,Ground,Rock,Base,None,Rhydon,Mountain,3
112,Rhydon,Ground,Rock,Final,Rhyhorn,None,Mountain,7
113,Chansey,Normal,None,Unique,None,None,Mountain,9
114,Tangela,Grass,None,Base,None,None,Forest,5
115,Kangaskhan,Normal,None,Unique,None,None,Grassland,7
116,Horsea,Water,None,Base,None,Seadra,Sea,2
117,Seadra,Water,None,Final,Horsea,None,Sea,6
118,Goldeen,Water,None,Base,None,Seaking,Sea,2
119,Seaking,Water,None,Final,Goldeen,None,Sea,6
120,Staryu,Water,None,Base,None,Starmie,Sea,3
121,Starmie,Water,Psychic,Final,Staryu,None,Sea,7
122,Mr. Mime,Psychic,Fairy,Unique,None,None,Urban,5
123,Scyther,Bug,Flying,Base,None,Scizor,Forest,5
124,Jynx,Ice,Psychic,Base,None,None,Urban,7
125,Electabuzz,Electric,None,Base,None,Electivire,Urban,7
126,Magmar,Fire,None,Base,None,Magmortar,Mountain,7
127,Pinsir,Bug,None,Base,None,None,Forest,5
128,Tauros,Normal,None,Unique,None,None,Grassland,5
129,Magikarp,Water,None,Base,None,Gyarados,Sea,2
130,Gyarados,Water,Flying,Final,Magikarp,None,Sea,8
131,Lapras,Water,Ice,Unique,None,None,Sea,7
132,Ditto,Normal,None,Unique,None,None,Urban,5
133,Eevee,Normal,None,Base,None,Vaporeon,Urban,5
134,Vaporeon,Water,None,Final,Eevee,None,Sea,7
135,Jolteon,Electric,None,Final,Eevee,None,Urban,7
136,Flareon,Fire,None,Final,Eevee,None,Mountain,7
137,Porygon,Normal,None,Unique,None,None,Urban,7
138,Omanyte,Rock,Water,Base,None,Omastar,Sea,5
139,Omastar,Rock,Water,Final,Omanyte,None,Sea,7
140,Kabuto,Rock,Water,Base,None,Kabutops,Sea,5
141,Kabutops,Rock,Water,Final,Kabuto,None,Sea,7
142,Aerodactyl,Rock,Flying,Unique,None,None,Mountain,7
143,Snorlax,Normal,None,Unique,None,None,Mountain,7
144,Articuno,Ice,Flying,Legendary,None,None,Sea,10
145,Zapdos,Electric,Flying,Legendary,None,None,Grassland,10
146,Moltres,Fire,Flying,Legendary,None,None,Mountain,10
147,Dratini,Dragon,None,Base,None,Dragonair,Sea,5
148,Dragonair,Dragon,None,Second,Dratini,Dragonite,Sea,7
149,Dragonite,Dragon,Flying,Final,Dragonair,None,Sea,9
150,Mewtwo,Psychic,None,Legendary,None,None,Urban,10
151,Mew,Psychic,None,Legendary,None,None,Forest,10